Title,Author,State,District,Date of Challenge/Removal,Banned Status,Ban Origin
"Assassination Classroom, Vol. 11","Matsui, Yūsei",Florida,School District of Osceola County,May-23,Banned from Libraries and Classrooms,Formal Challenge
"Assassination Classroom, Vol. 12","Matsui, Yūsei",Florida,School District of Osceola County,May-23,Banned from Libraries and Classrooms,Formal Challenge
"Assassination Classroom, Vol. 13","Matsui, Yūsei",Florida,School District of Osceola County,May-23,Banned from Libraries and Classrooms,Formal Challenge
"Assassination Classroom, Vol. 14","Matsui, Yūsei",Florida,School District of Osceola County,May-23,Banned from Libraries and Classrooms,Formal Challenge
"Assassination Classroom, Vol. 15","Matsui, Yūsei",Florida,School District of Osceola County,May-23,Banned from Libraries and Classrooms,Formal Challenge
"Assassination Classroom, Vol. 16","Matsui, Yūsei",Florida,School District of Osceola County,May-23,Banned from Libraries and Classrooms,Formal Challenge
"Assassination Classroom, Vol. 17","Matsui, Yūsei",Florida,School District of Osceola County,May-23,Banned from Libraries and Classrooms,Formal Challenge
"Assassination Classroom, Vol. 18","Matsui, Yūsei",Florida,School District of Osceola County,May-23,Banned from Libraries and Classrooms,Formal Challenge
"Assassination Classroom, Vol. 19","Matsui, Yūsei",Florida,Indian River County Schools,Mar-23,Banned from Libraries and Classrooms,Formal Challenge
"Assassination Classroom, Vol. 19","Matsui, Yūsei",Florida,School District of Osceola County,May-23,Banned from Libraries and Classrooms,Formal Challenge
"Assassination Classroom, Vol. 2","Matsui, Yūsei",Florida,Escambia County Public Schools,Feb-23,Banned Pending Investigation,Formal Challenge
"Assassination Classroom, Vol. 2","Matsui, Yūsei",Florida,School District of Osceola County,May-23,Banned from Libraries and Classrooms,Formal Challenge
"Assassination Classroom, Vol. 20","Matsui, Yūsei",Florida,School District of Osceola County,May-23,Banned from Libraries and Classrooms,Formal Challenge
"Assassination Classroom, Vol. 21","Matsui, Yūsei",Florida,Indian River County Schools,Mar-23,Banned from Libraries and Classrooms,Formal Challenge
"Assassination Classroom, Vol. 21","Matsui, Yūsei",Florida,School District of Osceola County,May-23,Banned from Libraries and Classrooms,Formal Challenge
"Assassination Classroom, Vol. 3","Matsui, Yūsei",Florida,Escambia County Public Schools,Feb-23,Banned Pending Investigation,Formal Challenge
"Assassination Classroom, Vol. 3","Matsui, Yūsei",Florida,School District of Osceola County,May-23,Banned from Libraries and Classrooms,Formal Challenge
"Assassination Classroom, Vol. 4","Matsui, Yūsei",Florida,Escambia County Public Schools,Feb-23,Banned Pending Investigation,Formal Challenge
"Assassination Classroom, Vol. 4","Matsui, Yūsei",Florida,School District of Osceola County,May-23,Banned from Libraries and Classrooms,Formal Challenge
"Assassination Classroom, Vol. 5","Matsui, Yūsei",Florida,Escambia County Public Schools,Feb-23,Banned Pending Investigation,Formal Challenge
"Assassination Classroom, Vol. 5","Matsui, Yūsei",Florida,School District of Osceola County,May-23,Banned from Libraries and Classrooms,Formal Challenge
"Assassination Classroom, Vol. 6","Matsui, Yūsei",Florida,Clay County School District,AY 2022-2023,Banned from Libraries and Classrooms,Administration/Formal Challenge
"Assassination Classroom, Vol. 6","Matsui, Yūsei",Florida,Escambia County Public Schools,Feb-23,Banned Pending Investigation,Formal Challenge
"Assassination Classroom, Vol. 6","Matsui, Yūsei",Florida,School District of Osceola County,May-23,Banned from Libraries and Classrooms,Formal Challenge
